child,parent1,parent2,vivc_number,vivc_color,vivc_species,vivc_pedigree_confirmed_markers,child_Vv_pct,child_NA1_pct,child_NA2_pct,child_Mus_pct,child_EA_pct,child_passQC,p1_Vv_pct,p1_NA1_pct,p1_NA2_pct,p1_Mus_pct,p1_EA_pct,p1_passQC,p2_Vv_pct,p2_NA1_pct,p2_NA2_pct,p2_Mus_pct,p2_EA_pct,p2_passQC,expected_Vv_pct,expected_NA1_pct,expected_NA2_pct,expected_Mus_pct,expected_EA_pct,mean_abs_deviation_pp,max_abs_deviation_pp,ancestry_consistency_score,support_category,existing_marker_support,child_match_methods,p1_match_methods,p2_match_methods,min_confirming_methods,child_ambiguous,p1_ambiguous,p2_ambiguous
KERNER,SCHIAVA GROSSA,RIESLING WEISS,6123,BLANC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,99.6,0.0,0.0,0.4,0.0,True,99.8,0.0,0.0,0.2,0.0,0.08,0.2,0.9992,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M2_alias,1,False,False,False
KEUKA,CHASSELAS ROSE,MILLS,6131,ROSE,VITIS INTERSPECIFIC CROSSING,,88.8,0.0,11.2,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,49.4,34.6,15.8,0.0,0.1,True,74.7,17.3,7.9,0.0,0.05,6.95,17.3,0.9305,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
LADY PATRICIA,SEIBEL 14665,DATTIER DE ST. VALLIER,6633,BLANC,VITIS INTERSPECIFIC CROSSING,,67.7,28.8,2.9,0.0,0.6,True,72.0,1.0,26.8,0.0,0.1,True,77.7,18.6,3.1,0.0,0.5,True,74.85,9.8,14.95,0.0,0.3,7.7,19.0,0.923,moderate,ancestry_only,M5_fuzzy(r=0.929),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
LAKE EMERALD,PIXIOLA,GOLDEN MUSCAT,6673,BLANC,VITIS INTERSPECIFIC CROSSING,,8.9,18.0,3.7,32.9,36.4,False,3.4,0.0,96.6,0.0,0.0,True,50.0,50.0,0.0,0.0,0.0,True,26.7,25.0,48.3,0.0,0.0,27.74,44.6,0.7226,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
MANITO,AMERICA,BRILLIANT,7333,NOIR,VITIS INTERSPECIFIC CROSSING,,24.5,16.4,59.0,0.0,0.0,True,1.6,34.6,63.5,0.0,0.3,True,50.6,0.0,49.4,0.0,0.0,True,26.1,17.3,56.45,0.0,0.15,1.04,2.55,0.9896,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
MERICADEL,AMERICA,DELAWARE,7649,NOIR,VITIS INTERSPECIFIC CROSSING,,25.4,23.1,51.6,0.0,0.0,True,1.6,34.6,63.5,0.0,0.3,True,46.1,24.9,29.0,0.0,0.0,True,23.85,29.75,46.25,0.0,0.15,2.74,6.65,0.9726,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
MOORED,FREDONIA,ATHENS,7973,ROUGE,VITIS INTERSPECIFIC CROSSING,,34.0,0.0,66.0,0.0,0.0,True,23.6,0.2,76.1,0.0,0.1,True,0.0,50.0,50.0,0.0,0.0,True,11.8,25.1,63.05,0.0,0.05,10.06,25.1,0.8994,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,True,False
MOYER,DELAWARE,PINOT MEUNIER,8096,ROUGE,VITIS INTERSPECIFIC CROSSING,,21.6,17.4,61.0,0.0,0.0,True,46.1,24.9,29.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,73.05,12.45,14.5,0.0,0.0,20.58,51.45,0.7942,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
MUSCAT HAMBURG,SCHIAVA GROSSA,MUSCAT OF ALEXANDRIA,8226,NOIR,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,99.9,0.0,0.0,0.0,0.1,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.04,0.1,0.9996,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
NEW YORK MUSCAT,MUSCAT HAMBURG,ONTARIO,8528,NOIR,VITIS INTERSPECIFIC CROSSING,view,68.6,0.0,31.4,0.0,0.0,True,99.9,0.0,0.0,0.0,0.1,True,45.5,0.0,54.5,0.0,0.0,True,72.7,0.0,27.25,0.0,0.05,1.66,4.15,0.9834,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,True
NOBLE,THOMAS,TARHEEL,8574,NOIR,MUSCADINIA INTERSPECIFIC CROSSING,,0.0,0.0,0.0,100.0,0.0,True,0.1,0.0,0.0,99.9,0.0,True,0.0,0.0,0.0,100.0,0.0,True,0.05,0.0,0.0,99.95,0.0,0.02,0.05,0.9998,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
NORTH FORK,AGAWAM,EARLY DAISY,8595,NOIR,VITIS INTERSPECIFIC CROSSING,,9.0,18.4,5.4,30.6,36.6,False,50.0,1.0,49.0,0.0,0.0,True,12.9,18.5,68.6,0.0,0.0,True,31.45,9.75,58.8,0.0,0.0,30.34,53.4,0.6966,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
NORWOOD,CONCORD,SCHIAVA GROSSA,8603,NOIR,VITIS INTERSPECIFIC CROSSING,,50.0,0.3,49.7,0.0,0.0,True,28.4,0.0,71.6,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,64.2,0.0,35.8,0.0,0.0,5.68,14.2,0.9432,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
ONTARIO,WINCHELL,DIAMOND,8776,BLANC,VITIS INTERSPECIFIC CROSSING,view,45.5,0.0,54.5,0.0,0.0,True,62.8,27.1,9.4,0.0,0.7,True,43.1,0.0,56.9,0.0,0.0,True,52.95,13.55,33.15,0.0,0.35,8.54,21.35,0.9146,moderate,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,True,False,False
OZARK PRIZE,DR. COLLIER,SHERIDAN,8856,NOIR,VITIS INTERSPECIFIC CROSSING,,9.0,19.3,6.4,29.6,35.6,False,17.5,0.0,82.5,0.0,0.0,True,38.1,0.0,61.9,0.0,0.0,True,27.8,0.0,72.2,0.0,0.0,33.82,65.8,0.6618,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
GRAVESAC,COUDERC 161- 49,COUDERC 3309,9315,,VITIS INTERSPECIFIC CROSSING,view,0.0,85.3,14.7,0.0,0.0,True,0.0,53.9,46.1,0.0,0.0,True,0.0,100.0,0.0,0.0,0.0,True,0.0,76.95,23.05,0.0,0.0,3.34,8.35,0.9666,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,2,False,False,False
RELIANCE,ONTARIO,SUFFOLK RED,10009,ROUGE,VITIS INTERSPECIFIC CROSSING,view,54.1,0.0,45.9,0.0,0.0,True,45.5,0.0,54.5,0.0,0.0,True,66.4,0.3,33.4,0.0,0.0,True,55.95,0.15,43.95,0.0,0.0,0.79,1.95,0.9921,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,True,True,False
RELIANCE,DELAWARE,IONA,10010,ROUGE,VITIS INTERSPECIFIC CROSSING,,54.1,0.0,45.9,0.0,0.0,True,46.1,24.9,29.0,0.0,0.0,True,0.0,99.5,0.5,0.0,0.0,True,23.05,62.2,14.75,0.0,0.0,24.88,62.2,0.7512,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,True,False,False
RIPLEY,WINCHELL,DIAMOND,10107,BLANC,VITIS INTERSPECIFIC CROSSING,,49.4,0.0,50.6,0.0,0.0,True,62.8,27.1,9.4,0.0,0.7,True,43.1,0.0,56.9,0.0,0.0,True,52.95,13.55,33.15,0.0,0.35,6.98,17.45,0.9302,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
ROMMEL,ELVIRA,TRIUMPH,10184,BLANC,VITIS INTERSPECIFIC CROSSING,,43.2,0.0,56.8,0.0,0.0,True,22.0,32.3,45.5,0.0,0.2,True,0.0,99.9,0.0,0.0,0.1,True,11.0,66.1,22.75,0.0,0.15,26.5,66.1,0.735,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,True
ROSEBELLE,FREDONIA,NIAGARA,10207,ROUGE,VITIS INTERSPECIFIC CROSSING,,32.0,0.0,68.0,0.0,0.0,True,23.6,0.2,76.1,0.0,0.1,True,50.3,0.5,49.2,0.0,0.0,True,36.95,0.35,62.65,0.0,0.05,2.14,5.35,0.9786,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,True,False
ROTBERGER,SCHIAVA GROSSA,RIESLING WEISS,10230,NOIR,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,99.6,0.0,0.0,0.4,0.0,True,99.8,0.0,0.0,0.2,0.0,0.08,0.2,0.9992,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M2_alias,1,False,False,False
RUBIRED,ALICANTE GANZIN,TINTO CAO,10308,NOIR,VITIS INTERSPECIFIC CROSSING,view,87.1,12.3,0.6,0.0,0.0,True,79.2,20.5,0.3,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,89.6,10.25,0.15,0.0,0.0,1.0,2.5,0.99,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,True,False,False
RUBY,BRIGHTON,ELVIRA,10311,NOIR,VITIS INTERSPECIFIC CROSSING,,69.6,0.0,30.4,0.0,0.0,True,50.8,0.0,49.1,0.0,0.1,True,22.0,32.3,45.5,0.0,0.2,True,36.4,16.15,47.3,0.0,0.15,13.28,33.2,0.8672,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,True,False,False
RUBY,KEUKA,ONTARIO,10315,ROUGE,VITIS INTERSPECIFIC CROSSING,,69.6,0.0,30.4,0.0,0.0,True,88.8,0.0,11.2,0.0,0.0,True,45.5,0.0,54.5,0.0,0.0,True,67.15,0.0,32.85,0.0,0.0,0.98,2.45,0.9902,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,True,False,True
SANALBA,SAN JACINTO,BRILLIANT,10673,BLANC,VITIS INTERGENERIC CROSSING,,0.8,0.0,0.0,99.2,0.0,True,0.0,0.0,0.0,99.8,0.2,True,50.6,0.0,49.4,0.0,0.0,True,25.3,0.0,24.7,49.9,0.1,19.72,49.3,0.8028,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
SANMONTA,SAN JACINTO,BRILLIANT,10686,NOIR,VITIS INTERGENERIC CROSSING,,0.0,0.0,0.0,100.0,0.0,True,0.0,0.0,0.0,99.8,0.2,True,50.6,0.0,49.4,0.0,0.0,True,25.3,0.0,24.7,49.9,0.1,20.04,50.1,0.7996,conflicting,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
SCARLET,GOLDEN MUSCAT,TEINTURIER,10809,NOIR,VITIS INTERSPECIFIC CROSSING,,85.9,0.0,14.1,0.0,0.0,True,50.0,50.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,75.0,25.0,0.0,0.0,0.0,10.0,25.0,0.9,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
SECRETARY,CLINTON,MUSCAT HAMBURG,10853,NOIR,VITIS INTERSPECIFIC CROSSING,,50.1,49.9,0.0,0.0,0.0,True,22.8,50.2,26.9,0.0,0.0,True,99.9,0.0,0.0,0.0,0.1,True,61.35,25.1,13.45,0.0,0.05,9.91,24.8,0.9009,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
SEIBEL 110,MUNSON,DURIF,10891,NOIR,VITIS INTERSPECIFIC CROSSING,view,57.9,1.8,39.8,0.0,0.5,True,24.9,19.0,56.1,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,62.45,9.5,28.05,0.0,0.0,4.9,11.75,0.951,strong,ancestry_only,M5_fuzzy(r=0.952),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
SEIBEL 446,MUNSON,HERBEMONT,10940,NOIR,VITIS INTERSPECIFIC CROSSING,,0.0,1.1,98.9,0.0,0.0,True,24.9,19.0,56.1,0.0,0.0,True,11.1,12.6,7.8,25.3,43.2,False,18.0,15.8,31.95,12.65,21.6,26.78,66.95,0.7322,conflicting,ancestry_only,M5_fuzzy(r=0.952),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
SEYVE VILLARD 12- 303,SEIBEL 6468,SUBEREUX,11581,BLANC,VITIS INTERSPECIFIC CROSSING,view,58.0,29.5,11.9,0.0,0.7,True,0.0,54.2,45.6,0.0,0.2,True,75.8,20.1,3.0,0.0,1.1,True,37.9,37.15,24.3,0.0,0.65,8.04,20.1,0.9196,moderate,SSR/SNP+ancestry,M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,2,False,False,False
SEYVE VILLARD 12- 308,SEIBEL 6468,SUBEREUX,11582,NOIR,VITIS INTERSPECIFIC CROSSING,view,66.4,25.6,6.5,0.5,1.0,True,0.0,54.2,45.6,0.0,0.2,True,75.8,20.1,3.0,0.0,1.1,True,37.9,37.15,24.3,0.0,0.65,11.74,28.5,0.8826,weak,SSR/SNP+ancestry,M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,2,False,False,False
SEYVE VILLARD 12- 331,SEIBEL 6468,SUBEREUX,11585,BLANC,VITIS INTERSPECIFIC CROSSING,,63.4,36.6,0.0,0.0,0.0,True,0.0,54.2,45.6,0.0,0.2,True,75.8,20.1,3.0,0.0,1.1,True,37.9,37.15,24.3,0.0,0.65,10.2,25.5,0.898,weak,ancestry_only,M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,2,False,False,False
SEYVE VILLARD 12- 347,SEIBEL 6468,SUBEREUX,11587,NOIR,VITIS INTERSPECIFIC CROSSING,view,80.2,15.6,3.4,0.0,0.8,True,0.0,54.2,45.6,0.0,0.2,True,75.8,20.1,3.0,0.0,1.1,True,37.9,37.15,24.3,0.0,0.65,16.98,42.3,0.8302,weak,SSR/SNP+ancestry,M5_fuzzy(r=0.927),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
SEYVE VILLARD 12- 358,SEIBEL 6468,SUBEREUX,11589,BLANC,VITIS INTERSPECIFIC CROSSING,view,61.3,31.3,6.7,0.0,0.7,True,0.0,54.2,45.6,0.0,0.2,True,75.8,20.1,3.0,0.0,1.1,True,37.9,37.15,24.3,0.0,0.65,9.38,23.4,0.9062,moderate,SSR/SNP+ancestry,M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,2,False,False,False
SEYVE VILLARD 12- 390,SEIBEL 6468,SUBEREUX,11592,NOIR,VITIS INTERSPECIFIC CROSSING,,65.5,31.6,2.5,0.0,0.5,True,0.0,54.2,45.6,0.0,0.2,True,75.8,20.1,3.0,0.0,1.1,True,37.9,37.15,24.3,0.0,0.65,11.02,27.6,0.8898,weak,ancestry_only,M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,2,False,False,False
SEYVE VILLARD 12- 401,SEIBEL 6468,SUBEREUX,11596,NOIR,VITIS INTERSPECIFIC CROSSING,,64.7,30.6,4.6,0.0,0.2,True,0.0,54.2,45.6,0.0,0.2,True,75.8,20.1,3.0,0.0,1.1,True,37.9,37.15,24.3,0.0,0.65,10.7,26.8,0.893,weak,ancestry_only,M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,2,False,False,False
SOVEREIGN CORONATION,LADY PATRICIA,HIMROD,11944,NOIR,VITIS INTERSPECIFIC CROSSING,,50.2,30.3,19.5,0.0,0.0,True,67.7,28.8,2.9,0.0,0.6,True,63.9,0.0,36.1,0.0,0.0,True,65.8,14.4,19.5,0.0,0.3,6.36,15.9,0.9364,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M5_fuzzy(r=0.929),M1_exact|M3_umlaut|M4_hybrid_spacing,1,False,False,False
